ID,Assay,Structure,Location,Date,Species,Weigth_in,Grazing
22_1,22,1,Pilli Pipa,26/10/2018,Padina,21.83,0
22_1,22,1,Pilli Pipa,26/10/2018,Sargassum,41.74,0.850053068
22_1,22,1,Pilli Pipa,26/10/2018,Thalassia,2.01,8.734532932
22_10,22,10,Pilli Pipa,26/10/2018,Padina,18.86,40.3662123
22_10,22,10,Pilli Pipa,26/10/2018,Sargassum,38.84,20.26573036
22_10,22,10,Pilli Pipa,26/10/2018,Thalassia,1.56,49.62266506
22_2,22,2,Pilli Pipa,26/10/2018,Padina,18.45,18.2140037
22_2,22,2,Pilli Pipa,26/10/2018,Sargassum,40.08,24.55092916
22_2,22,2,Pilli Pipa,26/10/2018,Thalassia,1.82,0
22_3,22,3,Pilli Pipa,26/10/2018,Padina,20.36,0
22_3,22,3,Pilli Pipa,26/10/2018,Sargassum,41.1,33.99868861
22_3,22,3,Pilli Pipa,26/10/2018,Thalassia,2.01,39.1520275
22_4,22,4,Pilli Pipa,26/10/2018,Padina,21.97,19.08216563
22_4,22,4,Pilli Pipa,26/10/2018,Sargassum,39.63,0
22_4,22,4,Pilli Pipa,26/10/2018,Thalassia,2,7.778916644
22_5,22,5,Pilli Pipa,26/10/2018,Padina,21.23,0
22_5,22,5,Pilli Pipa,26/10/2018,Sargassum,38.79,8.379595584
22_5,22,5,Pilli Pipa,26/10/2018,Thalassia,1.7,0
22_6,22,6,Pilli Pipa,26/10/2018,Padina,22.23,31.57555539
22_6,22,6,Pilli Pipa,26/10/2018,Sargassum,36.7,56.06067977
22_6,22,6,Pilli Pipa,26/10/2018,Thalassia,2.08,13.20697705
22_7,22,7,Pilli Pipa,26/10/2018,Padina,27.22,12.10217782
22_7,22,7,Pilli Pipa,26/10/2018,Sargassum,35.81,0
22_7,22,7,Pilli Pipa,26/10/2018,Thalassia,1.45,8.007310073
22_8,22,8,Pilli Pipa,26/10/2018,Padina,19.98,0
22_8,22,8,Pilli Pipa,26/10/2018,Sargassum,39.33,2.658988326
22_8,22,8,Pilli Pipa,26/10/2018,Thalassia,2.08,56.31792608
22_9,22,9,Pilli Pipa,26/10/2018,Padina,23.36,19.55992802
22_9,22,9,Pilli Pipa,26/10/2018,Sargassum,43.03,4.664938415
22_9,22,9,Pilli Pipa,26/10/2018,Thalassia,2.02,17.75186445
23_1,23,1,Wasini,30/10/2018,Padina,20.72,61.83507695
23_1,23,1,Wasini,30/10/2018,Sargassum,38.41,0
23_1,23,1,Wasini,30/10/2018,Thalassia,1.76,63.75875343
23_10,23,10,Wasini,30/10/2018,Padina,20.14,71.54781725
23_10,23,10,Wasini,30/10/2018,Sargassum,19.78,0
23_10,23,10,Wasini,30/10/2018,Thalassia,2.15,46.10449038
23_11,23,11,Wasini,30/10/2018,Padina,15.68,93.97006068
23_11,23,11,Wasini,30/10/2018,Sargassum,19.75,22.53195062
23_11,23,11,Wasini,30/10/2018,Thalassia,2.03,77.48162939
23_2,23,2,Wasini,30/10/2018,Padina,19.99,86.52712999
23_2,23,2,Wasini,30/10/2018,Sargassum,40.71,0
23_2,23,2,Wasini,30/10/2018,Thalassia,1.8,67.51710493
23_3,23,3,Wasini,30/10/2018,Padina,20.82,92.01835646
23_3,23,3,Wasini,30/10/2018,Sargassum,40.9,51.98308827
23_3,23,3,Wasini,30/10/2018,Thalassia,1.82,63.20119579
23_5,23,5,Wasini,30/10/2018,Padina,16.62,73.27942873
23_5,23,5,Wasini,30/10/2018,Sargassum,41.42,0
23_5,23,5,Wasini,30/10/2018,Thalassia,1.99,77.56320816
23_6,23,6,Wasini,30/10/2018,Padina,18.2,86.8550134
23_6,23,6,Wasini,30/10/2018,Sargassum,34.88,36.21023175
23_6,23,6,Wasini,30/10/2018,Thalassia,1.7,77.48779037
23_7,23,7,Wasini,30/10/2018,Padina,17.01,50.9002472
23_7,23,7,Wasini,30/10/2018,Sargassum,25.61,9.131007716
23_7,23,7,Wasini,30/10/2018,Thalassia,1.83,57.59312059
23_8,23,8,Wasini,30/10/2018,Padina,18.15,95.89567466
23_8,23,8,Wasini,30/10/2018,Sargassum,19.44,73.46274686
23_8,23,8,Wasini,30/10/2018,Thalassia,1.63,97.39122315
23_9,23,9,Wasini,30/10/2018,Padina,26.2,77.96470753
23_9,23,9,Wasini,30/10/2018,Sargassum,22.85,63.67809577
23_9,23,9,Wasini,30/10/2018,Thalassia,1.8,82.87265533
24_1,24,1,Firefly,31/10/2018,Padina,16.59,37.50061594
24_1,24,1,Firefly,31/10/2018,Sargassum,40.4,1.358985398
24_1,24,1,Firefly,31/10/2018,Thalassia,1.78,0
24_10,24,10,Firefly,31/10/2018,Sargassum,34.7,57.54553684
24_10,24,10,Firefly,31/10/2018,Thalassia,1.53,0
24_11,24,11,Firefly,31/10/2018,Padina,25.34,0
24_11,24,11,Firefly,31/10/2018,Sargassum,40.01,13.39466322
24_11,24,11,Firefly,31/10/2018,Thalassia,1.76,9.398975684
